Rank,CCA3,Country,2022 Population,Growth Rate,World Population Percentage
36,AFG,Afghanistan,41128771,1.0257,0.52
138,ALB,Albania,2842321,0.9957,0.04
34,DZA,Algeria,44903225,1.0164,0.56
213,ASM,American Samoa,44273,0.9831,0
203,AND,Andorra,79824,1.01,0
42,AGO,Angola,35588987,1.0315,0.45
224,AIA,Anguilla,15857,1.0066,0
201,ATG,Antigua and Barbuda,93763,1.0058,0
33,ARG,Argentina,45510318,1.0052,0.57
140,ARM,Armenia,2780469,0.9962,0.03
198,ABW,Aruba,106445,0.9991,0
55,AUS,Australia,26177413,1.0099,0.33
99,AUT,Austria,8939617,1.002,0.11
91,AZE,Azerbaijan,10358074,1.0044,0.13
176,BHS,Bahamas,409984,1.0051,0.01
154,BHR,Bahrain,1472233,1.0061,0.02
8,BGD,Bangladesh,171186372,1.0108,2.15
186,BRB,Barbados,281635,1.0015,0
96,BLR,Belarus,9534954,0.9955,0.12
81,BEL,Belgium,11655930,1.0038,0.15
177,BLZ,Belize,405272,1.0131,0.01
77,BEN,Benin,13352864,1.0274,0.17
206,BMU,Bermuda,64184,1,0
165,BTN,Bhutan,782455,1.0064,0.01
80,BOL,Bolivia,12224110,1.012,0.15
137,BIH,Bosnia and Herzegovina,3233526,0.9886,0.04
144,BWA,Botswana,2630296,1.0162,0.03
7,BRA,Brazil,215313498,1.0046,2.7
221,VGB,British Virgin Islands,31305,1.0059,0
175,BRN,Brunei,449002,1.0081,0.01
108,BGR,Bulgaria,6781953,0.9849,0.09
58,BFA,Burkina Faso,22673762,1.0259,0.28
78,BDI,Burundi,12889576,1.027,0.16
73,KHM,Cambodia,16767842,1.0108,0.21
53,CMR,Cameroon,27914536,1.0263,0.35
39,CAN,Canada,38454327,1.0078,0.48
171,CPV,Cape Verde,593149,1.0089,0.01
205,CYM,Cayman Islands,68706,1.0084,0
117,CAF,Central African Republic,5579144,1.0224,0.07
69,TCD,Chad,17723315,1.0316,0.22
65,CHL,Chile,19603733,1.0057,0.25
1,CHN,China,1425887337,1,17.88
28,COL,Colombia,51874024,1.0069,0.65
163,COM,Comoros,836774,1.0184,0.01
223,COK,Cook Islands,17011,1.0005,0
124,CRI,Costa Rica,5180829,1.0052,0.06
130,HRV,Croatia,4030358,0.9927,0.05
85,CUB,Cuba,11212191,0.9961,0.14
189,CUW,Curacao,191163,1.0043,0
158,CYP,Cyprus,1251488,1.0059,0.02
88,CZE,Czech Republic,10493986,0.9984,0.13
115,DNK,Denmark,5882261,1.0048,0.07
160,DJI,Djibouti,1120849,1.0138,0.01
204,DMA,Dominica,72737,1.0045,0
84,DOM,Dominican Republic,11228821,1.01,0.14
15,COD,DR Congo,99010212,1.0325,1.24
67,ECU,Ecuador,18001000,1.0114,0.23
14,EGY,Egypt,110990103,1.0158,1.39
112,SLV,El Salvador,6336392,1.0035,0.08
152,GNQ,Equatorial Guinea,1674908,1.0247,0.02
132,ERI,Eritrea,3684032,1.0176,0.05
156,EST,Estonia,1326062,0.998,0.02
159,SWZ,Eswatini,1201670,1.0079,0.02
12,ETH,Ethiopia,123379924,1.0257,1.55
231,FLK,Falkland Islands,3780,1.0043,0
209,FRO,Faroe Islands,53090,1.0038,0
162,FJI,Fiji,929766,1.0056,0.01
118,FIN,Finland,5540745,1.0009,0.07
23,FRA,France,64626628,1.0015,0.81
184,GUF,French Guiana,304557,1.0239,0
183,PYF,French Polynesia,306279,1.0074,0
146,GAB,Gabon,2388992,1.0204,0.03
142,GMB,Gambia,2705992,1.025,0.03
131,GEO,Georgia,3744385,0.9964,0.05
19,DEU,Germany,83369843,0.9995,1.05
47,GHA,Ghana,33475870,1.0196,0.42
219,GIB,Gibraltar,32649,0.9994,0
90,GRC,Greece,10384971,0.9942,0.13
208,GRL,Greenland,56466,1.004,0
193,GRD,Grenada,125438,1.0066,0
178,GLP,Guadeloupe,395752,0.9992,0
191,GUM,Guam,171774,1.0073,0
68,GTM,Guatemala,17843908,1.0134,0.22
207,GGY,Guernsey,63301,1.0037,0
75,GIN,Guinea,13859341,1.0242,0.17
149,GNB,Guinea-Bissau,2105566,1.0218,0.03
164,GUY,Guyana,808726,1.0052,0.01
82,HTI,Haiti,11584996,1.012,0.15
89,HND,Honduras,10432860,1.015,0.13
104,HKG,Hong Kong,7488865,0.9992,0.09
94,HUN,Hungary,9967308,1.0265,0.12
179,ISL,Iceland,372899,1.0069,0
2,IND,India,1417173173,1.0068,17.77
4,IDN,Indonesia,275501339,1.0064,3.45
17,IRN,Iran,88550570,1.0071,1.11
35,IRQ,Iraq,44496122,1.0221,0.56
125,IRL,Ireland,5023109,1.0073,0.06
202,IMN,Isle of Man,84519,1.003,0
98,ISR,Israel,9038309,1.0155,0.11
25,ITA,Italy,59037474,0.9966,0.74
52,CIV,Ivory Coast,28160542,1.0248,0.35
139,JAM,Jamaica,2827377,0.9999,0.04
11,JPN,Japan,123951692,0.9947,1.55
195,JEY,Jersey,110778,1.0106,0
83,JOR,Jordan,11285869,1.0123,0.14
66,KAZ,Kazakhstan,19397998,1.0105,0.24
27,KEN,Kenya,54027487,1.0193,0.68
192,KIR,Kiribati,131232,1.0183,0
129,KWT,Kuwait,4268873,1.0044,0.05
110,KGZ,Kyrgyzstan,6630623,1.0158,0.08
103,LAO,Laos,7529475,1.0141,0.09
151,LVA,Latvia,1850651,0.9876,0.02
119,LBN,Lebanon,5489739,0.9816,0.07
147,LSO,Lesotho,2305825,1.0107,0.03
121,LBR,Liberia,5302681,1.021,0.07
107,LBY,Libya,6812341,1.0114,0.09
216,LIE,Liechtenstein,39327,1.0074,0
141,LTU,Lithuania,2750055,0.9869,0.03
168,LUX,Luxembourg,647599,1.0129,0.01
167,MAC,Macau,695168,1.0125,0.01
50,MDG,Madagascar,29611714,1.0241,0.37
62,MWI,Malawi,20405317,1.0259,0.26
45,MYS,Malaysia,33938221,1.0109,0.43
174,MDV,Maldives,523787,1.0045,0.01
59,MLI,Mali,22593590,1.0314,0.28
173,MLT,Malta,533286,1.0124,0.01
215,MHL,Marshall Islands,41569,0.9886,0
180,MTQ,Martinique,367507,0.9965,0
126,MRT,Mauritania,4736139,1.0263,0.06
157,MUS,Mauritius,1299469,1.0004,0.02
182,MYT,Mayotte,326101,1.0319,0
10,MEX,Mexico,127504125,1.0063,1.6
194,FSM,Micronesia,114164,1.0091,0
135,MDA,Moldova,3272996,1.0691,0.04
217,MCO,Monaco,36469,0.9941,0
134,MNG,Mongolia,3398366,1.0151,0.04
169,MNE,Montenegro,627082,0.9988,0.01
230,MSR,Montserrat,4390,0.9939,0
40,MAR,Morocco,37457971,1.0103,0.47
48,MOZ,Mozambique,32969517,1.0278,0.41
26,MMR,Myanmar,54179306,1.0071,0.68
145,NAM,Namibia,2567012,1.0146,0.03
225,NRU,Nauru,12668,1.0125,0
49,NPL,Nepal,30547580,1.0171,0.38
71,NLD,Netherlands,17564014,1.0036,0.22
185,NCL,New Caledonia,289950,1.0075,0
123,NZL,New Zealand,5185288,1.0108,0.07
106,NIC,Nicaragua,6948392,1.0143,0.09
54,NER,Niger,26207977,1.0378,0.33
6,NGA,Nigeria,218541212,1.0241,2.74
232,NIU,Niue,1934,0.9985,0
56,PRK,North Korea,26069416,1.0038,0.33
150,MKD,North Macedonia,2093599,0.9954,0.03
210,NFK,Northern Mariana Islands,49551,1.0014,0
120,NOR,Norway,5434319,1.0058,0.07
127,OMN,Oman,4576298,1.0123,0.06
5,PAK,Pakistan,235824862,1.0191,2.96
222,PLW,Palau,18055,1.0017,0
122,PSE,Palestine,5250072,1.0227,0.07
128,PAN,Panama,4408581,1.0132,0.06
93,PNG,Papua New Guinea,10142619,1.0194,0.13
109,PRY,Paraguay,6780744,1.0115,0.09
44,PER,Peru,34049588,1.0099,0.43
13,PHL,Philippines,115559009,1.0147,1.45
37,POL,Poland,39857145,1.0404,0.5
92,PRT,Portugal,10270865,0.9981,0.13
136,PRI,Puerto Rico,3252407,0.9989,0.04
143,QAT,Qatar,2695122,1.0026,0.03
114,COG,Republic of the Congo,5970424,1.0231,0.07
161,REU,Reunion,974052,1.0082,0.01
64,ROU,Romania,19659267,1.0171,0.25
9,RUS,Russia,144713314,0.9973,1.81
76,RWA,Rwanda,13776698,1.0234,0.17
228,BLM,Saint Barthelemy,10967,1.0098,0
211,KNA,Saint Kitts and Nevis,47657,1.0011,0
190,LCA,Saint Lucia,179857,1.0011,0
220,MAF,Saint Martin,31791,0.9951,0
229,SPM,Saint Pierre and Miquelon,5862,0.9964,0
199,VCT,Saint Vincent and the Grenadines,103948,0.9963,0
188,WSM,Samoa,222382,1.0165,0
218,SMR,San Marino,33660,0.9975,0
187,STP,Sao Tome and Principe,227380,1.0192,0
41,SAU,Saudi Arabia,36408820,1.0128,0.46
72,SEN,Senegal,17316449,1.0261,0.22
105,SRB,Serbia,7221365,0.9897,0.09
196,SYC,Seychelles,107118,1.0061,0
102,SLE,Sierra Leone,8605718,1.022,0.11
113,SGP,Singapore,5975689,1.0058,0.07
214,SXM,Sint Maarten,44175,1.003,0
116,SVK,Slovakia,5643453,1.0359,0.07
148,SVN,Slovenia,2119844,1.0002,0.03
166,SLB,Solomon Islands,724273,1.0232,0.01
70,SOM,Somalia,17597511,1.0312,0.22
24,ZAF,South Africa,59893885,1.0084,0.75
29,KOR,South Korea,51815810,0.9997,0.65
86,SSD,South Sudan,10913164,1.0153,0.14
30,ESP,Spain,47558630,1.0015,0.6
61,LKA,Sri Lanka,21832143,1.0027,0.27
32,SDN,Sudan,46874204,1.0267,0.59
170,SUR,Suriname,618040,1.0082,0.01
87,SWE,Sweden,10549347,1.0079,0.13
101,CHE,Switzerland,8740472,1.0056,0.11
60,SYR,Syria,22125249,1.0376,0.28
57,TWN,Taiwan,23893394,1.0014,0.3
95,TJK,Tajikistan,9952787,1.0208,0.12
22,TZA,Tanzania,65497748,1.03,0.82
20,THA,Thailand,71697030,1.0013,0.9
155,TLS,Timor-Leste,1341296,1.0154,0.02
100,TGO,Togo,8848699,1.0236,0.11
233,TKL,Tokelau,1871,1.0119,0
197,TON,Tonga,106858,1.0079,0
153,TTO,Trinidad and Tobago,1531044,1.0035,0.02
79,TUN,Tunisia,12356117,1.0076,0.15
18,TUR,Turkey,85341241,1.0067,1.07
111,TKM,Turkmenistan,6430770,1.014,0.08
212,TCA,Turks and Caicos Islands,45703,1.0131,0
227,TUV,Tuvalu,11312,1.0096,0
31,UGA,Uganda,47249585,1.0304,0.59
38,UKR,Ukraine,39701739,0.912,0.5
97,ARE,United Arab Emirates,9441129,1.0081,0.12
21,GBR,United Kingdom,67508936,1.0034,0.85
3,USA,United States,338289857,1.0038,4.24
200,VIR,United States Virgin Islands,99465,0.9937,0
133,URY,Uruguay,3422794,0.999,0.04
43,UZB,Uzbekistan,34627652,1.016,0.43
181,VUT,Vanuatu,326740,1.0238,0
234,VAT,Vatican City,510,0.998,0
51,VEN,Venezuela,28301696,1.0036,0.35
16,VNM,Vietnam,98186856,1.0074,1.23
226,WLF,Wallis and Futuna,11572,0.9953,0
172,ESH,Western Sahara,575986,1.0184,0.01
46,YEM,Yemen,33696614,1.0217,0.42
63,ZMB,Zambia,20017675,1.028,0.25
74,ZWE,Zimbabwe,16320537,1.0204,0.2